Time Series Input,,Profliing,,,,,Prediction,,,
Use Case,Metrics,States,Buffersize,History,PeriodSize,Phase Change Likeliness,Mode,PeriodDepth,Steps,ID
#BASIC EXPERIMENTS
hpc,multi,10,1,1,,0,0 - roottx,0,1,10
hpc,single,10,1,1,,0,0 - roottx,0,1,11
uninet,single,10,1,1,,0,0 - roottx,0,1,12
hpc,multi,10,1,1,,0.5,1 - phases,0,1,20
hpc,single,10,1,1,,0.5,1 - phases,0,1,21
uninet,single,10,1,1,,0.5,1 - phases,0,1,22
hpc,multi,10,1,1,100 1,0,2 - periods,0,1,30
hpc,single,10,1,1,100 1,0,2 - periods,0,1,31
uninet,single,10,1,1,100 1,0,2 - periods,0,1,32
#INTENSE ROOTTX EXPERIMENTS
...,,,,,,,,,,
#INTENSE PHASES EXPERIMENTS
...,,,,,,,,,,
#INTENSE PERIODS EXPERIMENTS
...,,,,,,,,,,