exp,smape,avgdiff,duration
301_hpc-single-s10-b1-h1-ps-pcl03-pm1-pd0-ps1, 5.808%,26.98803630363036303630, 557
302_hpc-single-s10-b1-h1-ps-pcl04-pm1-pd0-ps1, 5.839%,27.22153465346534653465, 555
303_hpc-single-s10-b1-h1-ps-pcl05-pm1-pd0-ps1, 5.800%,26.84777227722772277227, 556
304_hpc-single-s10-b1-h1-ps-pcl06-pm1-pd0-ps1, 5.838%,27.39397689768976897689, 556
305_hpc-single-s10-b1-h1-ps-pcl07-pm1-pd0-ps1, 5.838%,26.71328382838283828382, 554
306_uninet-single-s10-b1-h1-ps-pcl03-pm1-pd0-ps1, 0.391%,32.42394179894179894179, 3745
307_uninet-single-s10-b1-h1-ps-pcl04-pm1-pd0-ps1, 0.392%,32.04034391534391534391, 3744
308_uninet-single-s10-b1-h1-ps-pcl05-pm1-pd0-ps1, 0.386%,33.07208994708994708994, 3742
309_uninet-single-s10-b1-h1-ps-pcl06-pm1-pd0-ps1, 0.403%,32.99966931216931216931, 3744
310_uninet-single-s10-b1-h1-ps-pcl07-pm1-pd0-ps1, 0.396%,31.03009259259259259259, 3745
311_hpc-multi-s10-b1-h1-ps-pcl03-pm1-pd0-ps1, 0.388%,82.17079207920792079207, 296
312_hpc-multi-s10-b1-h1-ps-pcl04-pm1-pd0-ps1, 0.604%,97.09570957095709570957, 443
313_hpc-multi-s10-b1-h1-ps-pcl05-pm1-pd0-ps1, 0.712%,109.78259075907590759075, 523
314_hpc-multi-s10-b1-h1-ps-pcl06-pm1-pd0-ps1, 1.464%,143.78506600660066006600, 1176
315_hpc-multi-s10-b1-h1-ps-pcl07-pm1-pd0-ps1, 1.838%,252.85189768976897689768, 3920
316_hpc-single-s10-b10-h1-ps-pcl03-pm1-pd0-ps1, 5.852%,21.52021452145214521452, 162
317_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 5.852%,21.27929042904290429042, 164
318_hpc-single-s10-b10-h1-ps-pcl05-pm1-pd0-ps1, 5.859%,20.53630363036303630363, 164
319_hpc-single-s10-b10-h1-ps-pcl06-pm1-pd0-ps1, 5.860%,21.15965346534653465346, 164
320_hpc-single-s10-b10-h1-ps-pcl07-pm1-pd0-ps1, 5.861%,20.87500000000000000000, 164
321_uninet-single-s10-b10-h1-ps-pcl03-pm1-pd0-ps1, 0.462%,25.75297619047619047619, 256
322_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.469%,26.16369047619047619047, 256
323_uninet-single-s10-b10-h1-ps-pcl05-pm1-pd0-ps1, 0.465%,26.36177248677248677248, 255
324_uninet-single-s10-b10-h1-ps-pcl06-pm1-pd0-ps1, 0.461%,25.74173280423280423280, 256
325_uninet-single-s10-b10-h1-ps-pcl07-pm1-pd0-ps1, 0.462%,26.39847883597883597883, 256
326_hpc-multi-s10-b10-h1-ps-pcl03-pm1-pd0-ps1, 0.414%,93.36839933993399339933, 193
327_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.434%,102.20709570957095709570, 199
328_hpc-multi-s10-b10-h1-ps-pcl05-pm1-pd0-ps1, 0.454%,104.79991749174917491749, 204
329_hpc-multi-s10-b10-h1-ps-pcl06-pm1-pd0-ps1, 0.575%,120.01072607260726072607, 218
330_hpc-multi-s10-b10-h1-ps-pcl07-pm1-pd0-ps1, 0.599%,138.84282178217821782178, 239
331_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps2, 7.584%,16.12163509471585244267, 182
332_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps4, 8.510%,32.48751248751248751248, 217
333_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps8, 9.193%,67.45232151772341487768, 286
334_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 8.910%,145.86943471735867933966, 424
335_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps3, 8.600%,307.73423423423423423423, 669
336_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps6, 7.243%,714.76423576423576423576, 1207
337_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 5.728%,1396.88638638638638638638, 1911
338_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps2, 0.324%,27.69083803734259661311, 283
339_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps4, 0.325%,54.37115634473798181030, 317
340_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps8, 0.336%,114.30182133564614050303, 396
341_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.358%,256.43129605548331166016, 553
342_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps3, 0.367%,559.68853171155516941789, 836
343_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps6, 0.371%,1338.63947939262472885032, 1447
344_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.359%,2309.82312038244241634072, 2281
345_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps2, 0.329%,143.17678484701311316172, 232
346_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps4, 0.321%,291.80116391852570320077, 277
347_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps8, 0.308%,575.74781341107871720116, 376
348_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.312%,1173.64611650485436893203, 575
349_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps3, 0.319%,2245.96206225680933852140, 926
350_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps6, 0.328%,4580.67621359223300970873, 1682
351_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.342%,7875.81504854368932038834, 2681
352_hpc-single-s10-b1-h1-ps-pcl03-pch5-pm1-pd0-ps1, 5.524%,7.17904290429042904290, 219
353_hpc-single-s10-b1-h1-ps-pcl05-pch5-pm1-pd0-ps1, 5.698%,15.15429042904290429042, 314
354_hpc-single-s10-b1-h1-ps-pcl07-pch5-pm1-pd0-ps1, 6.127%,50.47607260726072607260, 752
355_uninet-single-s10-b1-h1-ps-pcl03-pch5-pm1-pd0-ps1, 0.184%,8.06316137566137566137, 284
356_uninet-single-s10-b1-h1-ps-pcl05-pch5-pm1-pd0-ps1, 0.285%,22.64947089947089947089, 728
357_uninet-single-s10-b1-h1-ps-pcl07-pch5-pm1-pd0-ps1, 0.645%,64.19874338624338624338, 3750
358_hpc-single-s10-b1-h1-ps-pcl03-pch10-pm1-pd0-ps1, 5.632%,6.24051155115511551155, 174
359_hpc-single-s10-b1-h1-ps-pcl05-pch10-pm1-pd0-ps1, 5.474%,17.27846534653465346534, 253
360_hpc-single-s10-b1-h1-ps-pcl07-pch10-pm1-pd0-ps1, 6.155%,73.22689768976897689768, 901
361_uninet-single-s10-b1-h1-ps-pcl03-pch10-pm1-pd0-ps1, 0.173%,7.28306878306878306878, 257
362_uninet-single-s10-b1-h1-ps-pcl05-pch10-pm1-pd0-ps1, 0.270%,23.91402116402116402116, 661
363_uninet-single-s10-b1-h1-ps-pcl07-pch10-pm1-pd0-ps1, 0.723%,82.09391534391534391534, 4965
364_hpc-single-s10-b1-h1-ps-pcl03-pch50-pm1-pd0-ps1, 5.367%,6.06146864686468646864, 171
365_hpc-single-s10-b1-h1-ps-pcl05-pch50-pm1-pd0-ps1, 5.232%,12.49876237623762376237, 243
366_hpc-single-s10-b1-h1-ps-pcl07-pch50-pm1-pd0-ps1, 5.936%,37.42285478547854785478, 1559
367_uninet-single-s10-b1-h1-ps-pcl03-pch50-pm1-pd0-ps1, 0.168%,6.58796296296296296296, 247
368_uninet-single-s10-b1-h1-ps-pcl05-pch50-pm1-pd0-ps1, 0.219%,16.53769841269841269841, 720
369_uninet-single-s10-b1-h1-ps-pcl07-pch50-pm1-pd0-ps1, 0.533%,60.77645502645502645502, 8053
370_hpc-single-s10-b1-h1-ps-pcl03-pch100-pm1-pd0-ps1, 5.485%,6.40099009900990099009, 170
371_hpc-single-s10-b1-h1-ps-pcl05-pch100-pm1-pd0-ps1, 5.518%,9.33250825082508250825, 228
372_hpc-single-s10-b1-h1-ps-pcl07-pch100-pm1-pd0-ps1, 5.701%,17.92615511551155115511, 2427
373_uninet-single-s10-b1-h1-ps-pcl03-pch100-pm1-pd0-ps1, 0.172%,6.68253968253968253968, 247
374_uninet-single-s10-b1-h1-ps-pcl05-pch100-pm1-pd0-ps1, 0.196%,10.47354497354497354497, 1322
